payment_id,order_id,Payment_date,Payment_method
31462w,84800m,7/21/2023,credit_card
66786y,70800g,10/27/2023,paypal
23080y,32870v,1/30/2024,paypal
64848i,52706q,4/15/2023,apple_pay
54584l,29528x,12/21/2023,apple_pay
67573i,19601v,6/9/2023,credit_card
37797n,15192u,6/14/2023,credit_card
89628l,34074x,10/21/2023,debit_card
34226b,62573q,7/25/2023,paypal
00984w,92007f,5/16/2023,credit_card
52350r,71678i,3/28/2023,paypal
18904k,37717o,12/20/2023,apple_pay
29974x,84945p,1/22/2024,venmo
64271e,82988a,10/14/2023,credit_card
63589b,26986f,1/10/2024,venmo
60101z,18109l,12/13/2023,paypal
71938e,32997r,9/3/2023,debit_card
85533o,10829r,4/9/2023,venmo
56513q,93423t,7/26/2023,apple_pay
98672r,39327h,5/22/2023,credit_card
25068x,46425c,7/24/2023,paypal
57812o,67036i,3/25/2023,debit_card
90959n,32769i,1/8/2024,apple_pay
03155r,77712a,8/14/2023,venmo
13499o,54171g,6/18/2023,venmo
96881a,76085w,1/29/2024,venmo
30417y,79929x,4/15/2023,credit_card
21095x,65655f,11/5/2023,apple_pay
81077k,29847h,1/11/2024,paypal
79163j,85084o,8/10/2023,venmo
03413p,92582e,4/23/2023,apple_pay
66106c,34223l,1/31/2024,apple_pay
79344t,89260j,6/26/2023,credit_card
63435w,18229l,12/29/2023,apple_pay
05658o,41132r,3/29/2023,apple_pay
27703x,01884a,1/26/2024,paypal
20005d,90713f,6/19/2023,venmo
98802o,09873j,7/28/2023,debit_card
44221y,55656j,10/20/2023,venmo
92039u,47154x,11/2/2023,debit_card
15153s,50221k,8/30/2023,venmo
41508h,41973w,10/28/2023,debit_card
88077v,21622q,3/5/2023,paypal
70961d,19976e,10/23/2023,venmo
37221g,79071a,11/15/2023,paypal
15295d,36104m,9/30/2023,credit_card
83229n,50662p,1/26/2024,venmo
31239i,05930t,5/30/2023,apple_pay
91017i,99218n,3/15/2023,credit_card
14982s,25889r,12/5/2023,paypal
