settlement_id,sale_id,settlement_date,settlement_type
59195x,76127o,7/31/2023,card
93676z,52663y,11/2/2023,cheque
13564p,10421n,2/4/2024,cash
60610h,19857s,4/16/2023,bank transfer
58081r,56484q,12/23/2023,cash
68415y,93790u,6/12/2023,cheque
34107d,86275c,6/17/2023,bank draft
16671x,64981g,10/25/2023,cash
33174p,43780r,7/30/2023,cheque
24860m,04970g,5/18/2023,cheque
24473j,53963c,3/31/2023,cheque
56449p,13648n,12/27/2023,card
21187z,61755k,1/27/2024,cheque
04534m,32061u,10/14/2023,card
17313u,64134l,1/15/2024,bank draft
72519c,96923j,12/18/2023,cash
73436z,36073p,9/10/2023,bank transfer
55648e,41046y,4/11/2023,bank draft
48663m,99787a,8/3/2023,card
47884o,52808u,5/23/2023,bank draft
26940r,51261m,7/26/2023,cheque
35678f,22872z,3/28/2023,bank draft
41252c,19620u,1/15/2024,card
62570i,47166b,8/15/2023,bank draft
59999p,65417v,6/22/2023,bank draft
35375d,79147h,2/5/2024,cheque
85992u,13435f,4/22/2023,bank transfer
53786v,53945e,11/12/2023,bank transfer
49845n,42046q,1/18/2024,card
82517s,99819s,8/14/2023,card
83307n,33776l,5/1/2023,cash
00669i,86749t,2/2/2024,cash
60305a,69992q,6/30/2023,card
42264w,41164p,1/4/2024,cheque
57700l,37958l,4/1/2023,bank draft
29962v,29562f,1/27/2024,card
29349d,25757g,6/23/2023,cash
16953c,44142u,7/30/2023,card
96411g,21816j,10/30/2023,card
97930o,08458a,11/9/2023,cheque
74153u,26866g,9/3/2023,bank draft
67836f,33316h,11/5/2023,card
18304r,69743x,3/10/2023,bank transfer
41276j,29432z,10/24/2023,cheque
21067u,95844i,11/20/2023,bank draft
64500i,36716z,10/9/2023,cheque
56302s,00576x,2/2/2024,bank draft
38592h,22363z,6/2/2023,cheque
75557l,77240c,3/20/2023,bank draft
64441g,64041n,12/14/2023,card
